'temp' 1 25.0
'1-hexyne(aq)' 2   2.00 'o2(g)'   3.00 'ethane(aq)'-117.7743  0.0  0.0
'1-octanamine(aq)' 4  -7.00 'h+'  -7.00 'no3-'   8.00 'methanamine(aq)'  14.00 'o2(g)'-442.5329  0.0  0.0
'1-octanol(aq)' 1   8.00 'methanol(aq)' -66.4573  0.0  0.0
'1-octene(aq)' 2   2.00 'o2(g)'   4.00 'ethane(aq)'-133.7641  0.0  0.0
'1-octyne(aq)' 2   2.50 'o2(g)'   4.00 'ethane(aq)'-153.2237  0.0  0.0
'1-pentanamine(aq)' 4  -4.00 'h+'  -4.00 'no3-'   5.00 'methanamine(aq)'   8.00 'o2(g)'-253.0184  0.0  0.0
'1-pentanol(aq)' 1   5.00 'methanol(aq)' -40.2940  0.0  0.0
'1-pentene(aq)' 2   1.25 'o2(g)'   2.50 'ethane(aq)' -80.2894  0.0  0.0
'1-pentyne(aq)' 2   1.75 'o2(g)'   2.50 'ethane(aq)'-100.0789  0.0  0.0
'1-propanamine(aq)' 4  -2.00 'h+'  -2.00 'no3-'   3.00 'methanamine(aq)'   4.00 'o2(g)'-127.9092  0.0  0.0
'1-propanol(aq)' 1   3.00 'methanol(aq)' -21.3565  0.0  0.0
'1-propene(aq)' 2   0.75 'o2(g)'   1.50 'ethane(aq)' -44.9279  0.0  0.0
'1-propyne(aq)' 2   1.25 'o2(g)'   1.50 'ethane(aq)' -64.5121  0.0  0.0
'2-butanone(aq)' 2  -0.50 'o2(g)'   4.00 'acetone(aq)'  32.1130  0.0  0.0
'2-heptanone(aq)' 2  -2.00 'o2(g)'   7.00 'acetone(aq)' 130.6291  0.0  0.0
'2-hexanone(aq)' 2  -1.50 'o2(g)'   6.00 'acetone(aq)'  97.9004  0.0  0.0
'2-octanone(aq)' 2  -2.50 'o2(g)'   8.00 'acetone(aq)' 163.3578  0.0  0.0
'2-pentanone(aq)' 2  -1.00 'o2(g)'   5.00 'acetone(aq)'  65.4795  0.0  0.0
'a-aminobutyric(aq)' 4  -1.00 'h+'  -1.00 'no3-'   0.50 'o2(g)'   2.00 'glycine(aq)'  46.6258  3.0  0.0
'acetate' 2  -1.00 'h+'   1.00 'acetic~acid(aq)'   4.7572  4.0 -1.0
'ag(co3)2-3' 2   1.00 'ag+'   2.00 'co3-2'  -2.1514  4.0 -3.0
'agcl(aq)' 2   1.00 'ag+'   1.00 'cl-'  -3.2971  0.0  0.0
'agcl2-' 2   1.00 'ag+'   2.00 'cl-'  -5.2989  4.0 -1.0
'agcl3-2' 2   1.00 'ag+'   3.00 'cl-'  -5.1310  4.0 -2.0
'agcl4-3' 2   1.00 'ag+'   4.00 'cl-'  -3.8050  4.0 -3.0
'agco3-' 2   1.00 'ag+'   1.00 'co3-2'  -2.6872  4.0 -1.0
'agf(aq)' 2   1.00 'ag+'   1.00 'f-'   0.1668  3.0  0.0
'agno3(aq)' 2   1.00 'ag+'   1.00 'no3-'   0.1979  0.0  0.0
'al(o-phth)+' 2   1.00 '(o-phth)-2'   1.00 'al+3'  -5.0600  4.0  1.0
'al(oh)2+' 2  -2.00 'h+'   1.00 'al+3'  10.0991  4.0  1.0
'al(oh)3(aq)' 2  -3.00 'h+'   1.00 'al+3'  16.1577  3.0  0.0
'al(oh)4-' 2  -4.00 'h+'   1.00 'al+3'  22.1477  4.0 -1.0
'al(so4)2-' 2   1.00 'al+3'   2.00 'so4-2'  -4.9000  4.0 -1.0
'al13o4(oh)24(7+)' 2 -32.00 'h+'  13.00 'al+3'  98.7300  6.0  7.0
'al2(oh)2+4' 2   2.00 'al+3'   2.00 'oh-' -20.3000  5.5  4.0
'al3(oh)4(5+)' 2   3.00 'al+3'   4.00 'oh-' -42.1000  6.0  5.0
'alanine(aq)' 4  -0.50 'h+'  -0.50 'no3-'   0.25 'o2(g)'   1.50 'glycine(aq)'  22.6305  3.0  0.0
'alch3coo+2' 3  -1.00 'h+'   1.00 'acetic~acid(aq)'   1.00 'al+3'  -2.4500  4.5  2.0
'alf+2' 2   1.00 'al+3'   1.00 'f-'  -7.0000  4.5  2.0
'alf2+' 2   1.00 'al+3'   2.00 'f-' -12.6000  4.0  1.0
'alf3(aq)' 2   1.00 'al+3'   3.00 'f-' -16.7000  3.0  0.0
'alf4-' 2   1.00 'al+3'   4.00 'f-' -19.1000  4.0 -1.0
'alh2po4+2' 2   1.00 'al+3'   1.00 'h2po4-'  -3.1000  4.5  2.0
'alhpo4+' 2   1.00 'al+3'   1.00 'hpo4-2'  -7.4000  4.0  1.0
'aloh+2' 2  -1.00 'h+'   1.00 'al+3'   5.0114  4.5  2.0
'also4+' 2   1.00 'al+3'   1.00 'so4-2'  -3.0100  4.0  1.0
'am(co3)2-' 2   1.00 'am+3'   2.00 'co3-2' -13.3000  4.0 -1.0
'am(co3)3-3' 2   1.00 'am+3'   3.00 'co3-2' -14.9500  4.0 -3.0
'am(h2po4)2+' 3   1.00 'am+3'   2.00 'h+'   2.00 'hpo4-2' -18.1712  4.0  1.0
'am(h2po4)3(aq)' 3   1.00 'am+3'   3.00 'h+'   3.00 'hpo4-2' -26.3736  3.0  0.0
'am(h2po4)4-' 3   1.00 'am+3'   4.00 'h+'   4.00 'hpo4-2' -34.1508  4.0 -1.0
'am(no3)2+' 2   1.00 'am+3'   2.00 'no3-'  -1.6610  4.0  1.0
'am(oh)2+' 2   1.00 'am+3'   2.00 'oh-' -12.0000  4.0  1.0
'am(oh)3(aq)' 2   1.00 'am+3'   3.00 'oh-' -18.2000  3.0  0.0
'am(so4)2-' 2   1.00 'am+3'   2.00 'so4-2'  -5.0284  4.0 -1.0
'amcl+2' 2   1.00 'am+3'   1.00 'cl-'  -1.1002  4.5  2.0
'amcl2+' 2   1.00 'am+3'   2.00 'cl-'  -1.5628  4.0  1.0
'amco3+' 2   1.00 'am+3'   1.00 'co3-2'  -8.2600  4.0  1.0
'amf+2' 2   1.00 'am+3'   1.00 'f-'  -4.2881  4.5  2.0
'amf2+' 2   1.00 'am+3'   2.00 'f-'  -7.3740  4.0  1.0
'amf3(aq)' 2   1.00 'am+3'   3.00 'f-' -10.5626  3.0  0.0
'amh2po4+2' 3   1.00 'am+3'   1.00 'h+'   1.00 'hpo4-2'  -9.9542  4.5  2.0
'amno3+2' 2   1.00 'am+3'   1.00 'no3-'  -1.1530  4.5  2.0
'amo2hco3(aq)' 2   1.00 'amo2+'   1.00 'hco3-'  -2.3002  3.0  0.0
'amoh+2' 2   1.00 'am+3'   1.00 'oh-'  -7.4100  4.5  2.0
'amso4+' 2   1.00 'am+3'   1.00 'so4-2'  -3.6137  4.0  1.0
'as(oh)3(aq)' 2   1.00 'h+'   1.00 'h2aso3-'  -9.2255  3.0  0.0
'ash3(aq)' 3  -1.50 'o2(g)'   1.00 'h+'   1.00 'h2aso3-' 120.3084  3.0  0.0
'aso2-' 2  -0.50 'o2(g)'   1.00 'h2aso4-'  29.1100  4.0 -1.0
'aso2oh-2' 2  -1.00 'h+'   1.00 'h2aso3-'  11.0171  4.0 -2.0
'aso3f-2' 2   1.00 'f-'   1.00 'h2aso4-' -40.2451  4.0 -2.0
'aso4-3' 2  -2.00 'h+'   1.00 'h2aso4-'  18.3518  4.0 -3.0
'asparagine(aq)' 1   2.00 'glycine(aq)'  -5.9386  3.0  0.0
'aspartic~acid(aq)' 4  -1.00 'h+'  -1.00 'no3-'   2.00 'glycine(aq)'   2.00 'o2(g)' -57.4375  3.0  0.0
'ass2-' 3   1.00 'h2aso3-'   2.00 'h+'   2.00 'hs-' -26.8010  4.0 -1.0
'b2o(oh)5-' 2   1.00 'oh-'   2.00 'b(oh)3(aq)'   4.6900  4.0 -1.0
'b3o3(oh)4-' 2   1.00 'oh-'   3.00 'b(oh)3(aq)'   6.6900  4.0 -1.0
'b4o5(oh)4-2' 2   2.00 'oh-'   4.00 'b(oh)3(aq)'  12.9400  4.0 -2.0
'b(oh)4-' 2  -1.00 'h+'   1.00 'b(oh)3(aq)'   9.2360  4.0 -1.0
'ba(o-phth)(aq)' 2   1.00 '(o-phth)-2'   1.00 'ba+2'  -2.3300  3.0  0.0
'bab(oh)4+' 3  -1.00 'h+'   1.00 'b(oh)3(aq)'   1.00 'ba+2'   7.8012  4.0  1.0
'bach3coo+' 3  -1.00 'h+'   1.00 'acetic~acid(aq)'   1.00 'ba+2'   3.6872  4.0  1.0
'bacl+' 2   1.00 'ba+2'   1.00 'cl-'   0.4977  4.0  1.0
'baco3(aq)' 2   1.00 'ba+2'   1.00 'co3-2'  -2.6454  0.0  0.0
'baf+' 2   1.00 'ba+2'   1.00 'f-'   0.1833  4.0  1.0
'bahco3+' 2   1.00 'hco3-'   1.00 'ba+2'  -1.0170  4.0  1.0
'bano3+' 2   1.00 'ba+2'   1.00 'no3-'  -0.9000  4.0  1.0
'baoh+' 2  -1.00 'h+'   1.00 'ba+2'  13.4700  4.0  1.0
'beo2-2' 2  -4.00 'h+'   1.00 'be+2'  32.1610  4.0 -2.0
'bf2(oh)2-' 3   1.00 'b(oh)3(aq)'   1.00 'h+'   2.00 'f-'  -6.6174  4.0 -1.0
'bf3oh-' 3   1.00 'b(oh)3(aq)'   2.00 'h+'   3.00 'f-' -13.1908  4.0 -1.0
'bf4-' 3   1.00 'b(oh)3(aq)'   3.00 'h+'   4.00 'f-' -18.0049  4.0 -1.0
'bh4-' 3  -2.00 'o2(g)'  -1.00 'h+'   1.00 'b(oh)3(aq)' 231.3061  4.0 -1.0
'bo2-' 2  -1.00 'h+'   1.00 'b(oh)3(aq)'   9.2449  4.0 -1.0
'br3-' 3   0.50 'o2(g)'   2.00 'h+'   3.00 'br-'  -5.6205  4.0 -1.0
'bro-' 2   0.50 'o2(g)'   1.00 'br-'  12.3658  4.0 -1.0
'bro3-' 2   1.00 'br-'   1.50 'o2(g)'  21.4918  4.0 -1.0
'bro4-' 2   1.00 'br-'   2.00 'o2(g)'  38.9007  4.0 -1.0
'butanoate' 3  -1.00 'h+'  -1.00 'o2(g)'   2.00 'acetic~acid(aq)'  76.8997  4.0 -1.0
'butanoic~acid(aq)' 2  -1.00 'o2(g)'   2.00 'acetic~acid(aq)'  72.0765  3.0  0.0
'ca(h3sio4)2(aq)' 3  -2.00 'h+'   1.00 'ca+2'   2.00 'sio2(aq)'  15.0532  3.0  0.0
'ca(o-phth)(aq)' 2   1.00 '(o-phth)-2'   1.00 'ca+2'  -2.4200  3.0  0.0
'cab(oh)4+' 3  -1.00 'h+'   1.00 'b(oh)3(aq)'   1.00 'ca+2'   7.4222  4.0  1.0
'cach3coo+' 3  -1.00 'h+'   1.00 'acetic~acid(aq)'   1.00 'ca+2'   3.5772  4.0  1.0
'cacl+' 2   1.00 'ca+2'   1.00 'cl-'   0.6956  4.0  1.0
'cacl2(aq)' 2   1.00 'ca+2'   2.00 'cl-'   0.6436  0.0  0.0
'caco3(aq)' 3  -1.00 'h+'   1.00 'ca+2'   1.00 'hco3-'   7.0017  0.0  0.0
'caf+' 2   1.00 'ca+2'   1.00 'f-'  -0.6817  4.0  1.0
'cah2po4+' 2   1.00 'ca+2'   1.00 'h2po4-'  -1.4000  4.0  1.0
'cah2sio4(aq)' 3  -2.00 'h+'   1.00 'ca+2'   1.00 'sio2(aq)'  18.5616  3.0  0.0
'cah3sio4+' 3  -1.00 'h+'   1.00 'ca+2'   1.00 'sio2(aq)'   8.7916  4.0  1.0
'cahco3+' 2   1.00 'ca+2'   1.00 'hco3-'  -1.0467  4.0  1.0
'cahp2o7-' 3   1.00 'ca+2'   1.00 'h+'   2.00 'hpo4-2'  -4.5800  4.0 -1.0
'cahpo4(aq)' 2   1.00 'ca+2'   1.00 'hpo4-2'  -2.7400  3.0  0.0
'cano3+' 2   1.00 'ca+2'   1.00 'no3-'  -0.7000  4.0  1.0
